id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
ACE2,1,3,4,0.7438099980354309,-7.3183072209358215,-6.574497222900391,4.0,0.43478260869565216,0.5666666666666667,2.0,0,0.016567389711468688,4,0.1666666716337204,0.00619982881359535
ASH1,2,2,4,-3.7726986408233643,3.661481738090515,-0.11121690273284912,5.0,0.3888888888888889,0.5404761904761906,22.0,0,0.11318618297691825,1,0.0,0.8764023930265105
CIN5,4,3,7,-0.20654571056365967,0.49217237532138824,0.2856266647577286,4.0,0.5,0.6547619047619049,34.0,0,0.13782560831345977,1,0.05000000074505806,1.0
GCR2,2,0,2,1.2472020387649536,0.0,1.2472020387649536,0.0,0.0,0.0,0.0,0,0.06463070381609437,0,0.0,0.5210728846149885
GLN3,0,3,3,0.0,-0.13895533978939056,-0.13895533978939056,4.0,0.44,0.5606060606060606,0.0,1,0.013663790555588178,7,0.1666666716337204,0.0
HAP4,1,3,4,-1.8726848363876343,1.4844079613685608,-0.3882768750190735,3.0,0.5294117647058824,0.6296296296296295,5.0,0,0.01753525609676219,6,0.0833333358168602,0.00619982881359535
HMO1,5,1,6,1.9708445072174072,0.030555125325918198,2.0013996325433254,5.0,0.3181818181818182,0.4095238095238095,31.0,1,0.13531370478513083,1,0.10000000149011612,0.8746747707065942
MSN2,1,2,3,-3.7231576442718506,3.4333724975585938,-0.28978514671325684,4.0,0.4444444444444444,0.5520833333333333,3.0,0,0.018358356302661614,3,0.3333333432674408,0.02067017475931517
SFP1,1,1,2,0.030555125325918198,2.1406877040863037,2.171242829412222,4.0,0.3888888888888889,0.4642857142857143,25.0,1,0.12861249569573774,1,0.0,0.5733104665692531
STB5,2,2,4,2.2474196553230286,-0.9518373012542725,1.295582354068756,3.0,0.5,0.5952380952380952,30.0,1,0.14228835864054368,1,0.0,0.40492212340059786
SWI4,2,1,3,-2.529007539153099,1.177021861076355,-1.351985678076744,6.0,0.2857142857142857,0.3791666666666666,2.0,0,0.022229821843835627,2,0.0,0.026870003572910518
SWI5,3,1,4,-0.5710576623678207,-3.3941736221313477,-3.9652312844991684,5.0,0.35,0.44523809523809527,9.0,0,0.07454528696123237,1,0.0,0.6699549201050518
YHP1,0,4,4,0.0,-2.770965814590454,-2.770965814590454,4.0,0.5,0.6287878787878788,0.0,0,0.013663790555588178,8,0.0833333358168602,0.0
YOX1,2,1,3,3.7746089696884155,1.8673597574234009,5.641968727111816,6.0,0.2692307692307692,0.37857142857142856,7.0,1,0.07907511731990745,1,0.0,0.2848871910652104
ZAP1,2,1,3,2.480263411998749,0.10673195123672485,2.5869953632354736,4.0,0.36363636363636365,0.4375,3.0,1,0.022504188579135435,5,0.1666666716337204,0.026870003572910518
