id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
ABF1,0,5,5,0.0,1.4756282567977905,1.4756282567977905,3.0,0.5652173913043478,0.6666666666666666,0.0,2,0,12,0.05000000074505806,0.0
ACE2,1,1,2,1.222541093826294,-1.3196370601654053,-0.09709596633911133,4.0,0.38461538461538464,0.4833333333333333,5.0,0,0,13,0.0,0.006170821438247535
AFT2,1,0,1,5.942351341247559,0.0,5.942351341247559,0.0,0.0,0.0,0.0,1,0,9,0.0,0.08799103846790281
ASF1,5,0,5,1.934973333030939,0.0,1.934973333030939,0.0,0.0,0.0,0.0,2,0,2,0.30000001192092896,0.7013252400430218
ASH1,3,1,4,-0.7203061580657959,-2.6681900024414062,-3.388496160507202,3.0,0.5,0.5833333333333333,8.833333333333332,2,0,8,0.0833333358168602,0.1141070828781185
CIN5,2,4,6,1.260595303028822,0.4477608120068908,1.7083561150357127,2.0,0.75,0.8333333333333334,1.0,3,0,7,0.2666666805744171,0.18975647846952617
GCN4,3,1,4,1.1100357891991735,0.43821048736572266,1.548246276564896,1.0,1.0,1.0,2.333333333333333,4,0,1,0.1666666716337204,1.0
GLN3,2,1,3,1.7206240892410278,0.7877017855644226,2.5083258748054504,1.0,1.0,1.0,4.0,4,0,1,0.0,0.954249948383603
HAP4,4,1,5,-4.589283183217049,0.33058851957321167,-4.258694663643837,2.0,0.6666666666666666,0.75,3.0,3,0,4,0.25,0.4314312538490958
HMO1,2,7,9,0.4805130362510681,2.3293203534558415,2.8098333897069097,2.0,0.6666666666666666,0.75,5.333333333333333,3,0,11,0.2678571343421936,0.10793626143987098
MSN2,1,9,10,0.5097611546516418,3.8921182453632355,4.401879400014877,2.0,0.8461538461538461,0.9090909090909091,5.0,1,0,10,0.14444445073604584,0.1017654400016234
SFP1,3,0,3,2.0090306168422103,0.0,2.0090306168422103,0.0,0.0,0.0,0.0,2,0,6,0.1666666716337204,0.24902215534390237
SWI4,2,3,5,-4.326082348823547,0.19470500946044922,-4.131377339363098,2.0,0.6666666666666666,0.75,1.8333333333333333,4,0,5,0.15000000596046448,0.09416185990615032
YHP1,4,2,6,-0.4655540883541107,1.0124800503253937,0.546925961971283,2.0,0.75,0.8333333333333334,13.666666666666666,4,0,3,0.1666666716337204,0.44520565538281626
YOX1,3,0,3,2.054027572274208,0.0,2.054027572274208,0.0,0.0,0.0,0.0,4,0,0,0.3333333432674408,0.2765709584113434
ZAP1,0,1,1,0.0,1.222541093826294,1.222541093826294,5.0,0.3157894736842105,0.4222222222222223,0.0,0,0,14,0.0,0.0
