id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,pageranks,eigencentrality
ACE2,1,1,2,0.9270829558372498,-0.9242809414863586,0.0028020143508911133,3.0,0.5,0.611111111111111,3.0,0,0,3,0.0,0.04816108850469719,0.008418089685142805
ASH1,3,1,4,-4.234981715679169,0.09696628153324127,-4.138015434145927,2.0,0.6666666666666666,0.75,10.0,2,0,2,0.0833333358168602,0.13529654303558816,0.5751175153882768
CIN5,2,4,6,1.1028085350990295,0.6497563943266869,1.7525649294257164,3.0,0.6363636363636364,0.7619047619047619,5.0,1,0,8,0.23333333432674408,0.037853132047802995,0.2495967587607242
GCR2,0,1,1,0.0,3.2166695594787598,3.2166695594787598,3.0,0.4583333333333333,0.49999999999999994,0.0,2,0,12,0.0,0.026025937615940558,0.0
GLN3,1,0,1,1.8063091039657593,0.0,1.8063091039657593,0.0,0.0,0.0,0.0,2,0,0,0.0,0.16600946949276596,0.8377003735133236
HAP4,5,0,5,-1.6628364622592926,0.0,-1.6628364622592926,0.0,0.0,0.0,0.0,1,0,6,0.25,0.06959226956326815,0.8619943161166643
HMO1,1,5,6,0.5453417897224426,1.5562007315456867,2.1015425212681293,3.0,0.55,0.6515151515151515,0.0,1,0,13,0.4000000059604645,0.03135847879948073,0.11351973386023488
MSN2,2,7,9,3.3166789785027504,-0.8482474386692047,2.4684315398335457,2.0,0.7692307692307693,0.85,14.0,2,0,11,0.1388888955116272,0.05349362968823736,0.1219378235453777
SFP1,3,1,4,0.5861499905586243,-1.795588731765747,-1.2094387412071228,4.0,0.4,0.5208333333333334,9.0,1,0,5,0.1666666716337204,0.05504526149048432,0.6054378860923815
STB5,1,2,3,-0.2396351844072342,3.253488540649414,3.01385335624218,5.0,0.375,0.5472222222222222,0.0,1,0,7,0.3333333432674408,0.03406867654010937,0.2481383403391393
SWI4,1,3,4,0.43579795956611633,-4.86593034863472,-4.4301323890686035,2.0,0.8,0.875,0.0,1,0,10,0.25,0.03252059086426282,0.13607702490048948
SWI5,1,1,2,-1.795588731765747,-1.7739061117172241,-3.569494843482971,3.0,0.5,0.611111111111111,7.0,2,0,4,0.0,0.0727950611231057,0.5296895556462207
YHP1,4,1,5,0.055987827479839325,1.8063091039657593,1.8622969314455986,1.0,1.0,1.0,11.0,2,0,1,0.15000000596046448,0.16468637683533371,1.0
YOX1,3,0,3,0.45540494844317436,0.0,0.45540494844317436,0.0,0.0,0.0,0.0,2,0,9,0.3333333432674408,0.04706759893704667,0.3926334549247715
ZAP1,0,1,1,0.0,0.9270829558372498,0.9270829558372498,4.0,0.4,0.5208333333333334,0.0,0,0,14,0.0,0.026025937615940558,0.0
