Location,FileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList
Top,82-top_2006-06-20_wt_t15-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t15-1,wt,15,1,1,1
Top,55-top_2006-04-20_wt_t30-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t30-0,wt,30,0,1,5
Top,83-top_2006-06-20_wt_t30-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t30-1,wt,30,1,1,6
Top,56-top_2006-04-20_wt_t60-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t60-0,wt,60,0,1,10
Top,79-top_2006-06-14_wt_t60-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t60-1,wt,60,1,1,11
Top,57-top_2006-04-20_wt_t90-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t90-0,wt,90,0,1,14
Top,84-top_2006-06-20_wt_t90-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t90-1,wt,90,1,1,15
Top,58-top_2006-04-20_wt_t120-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t120-0,wt,120,0,1,19
Top,81-top_2006-06-14_wt_t120-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t120-1,wt,120,1,1,20
Bottom,82-bottom_2006-06-20_wt_t15-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t15-1,wt,15,1,1,1
Bottom,55-bottom_2006-04-20_wt_t30-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t30-0,wt,30,0,1,5
Bottom,83-bottom_2006-06-20_wt_t30-Cy5_to-Cy3_rep1.gpr,wt_LogFC_t30-1,wt,30,1,1,6
Bottom,56-bottom_2006-04-20_wt_t60-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t60-0,wt,60,0,1,10
Bottom,79-bottom_2006-06-14_wt_t60-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t60-1,wt,60,1,1,11
Bottom,57-bottom_2006-04-20_wt_t90-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t90-0,wt,90,0,1,14
Bottom,84-bottom_2006-06-20_wt_t90-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t90-1,wt,90,1,1,15
Bottom,58-bottom_2006-04-20_wt_t120-Cy5_t0-Cy3_rep0.gpr,wt_LogFC_t120-0,wt,120,0,1,19
Bottom,81-bottom_2006-06-14_wt_t120-Cy5_t0-Cy3_rep1.gpr,wt_LogFC_t120-1,wt,120,1,1,20
