Location,OldFileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList,NewFileName
Bottom,Slide55_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t30-0,wt,30,0,1,5,55-bottom_2006-04-20_wt_t30-Cy5_t0-Cy3_rep0.gpr
Top,Slide55_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t30-0,wt,30,0,1,5,55-top_2006-04-20_wt_t30-Cy5_t0-Cy3_rep0.gpr
Bottom,Slide56_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t60-0,wt,60,0,1,10,56-bottom_2006-04-20_wt_t60-Cy5_t0-Cy3_rep0.gpr
Top,Slide56_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t60-0,wt,60,0,1,10,56-top_2006-04-20_wt_t60-Cy5_t0-Cy3_rep0.gpr
Bottom,Slide57_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t90-0,wt,90,0,1,14,57-bottom_2006-04-20_wt_t90-Cy5_t0-Cy3_rep0.gpr
Top,Slide57_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t90-0,wt,90,0,1,14,57-top_2006-04-20_wt_t90-Cy5_t0-Cy3_rep0.gpr
Bottom,Slide58_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t120-0,wt,120,0,1,19,58-bottom_2006-04-20_wt_t120-Cy5_t0-Cy3_rep0.gpr
Top,Slide58_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t120-0,wt,120,0,1,19,58-top_2006-04-20_wt_t120-Cy5_t0-Cy3_rep0.gpr
Bottom,Slide79_20060614_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t60-1,wt,60,1,1,11,79-bottom_2006-06-14_wt_t60-Cy5_t0-Cy3_rep1.gpr
Top,Slide79_20060614_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t60-1,wt,60,1,1,11,79-top_2006-06-14_wt_t60-Cy5_t0-Cy3_rep1.gpr
Bottom,Slide81_20060614_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t120-1,wt,120,1,1,20,81-bottom_2006-06-14_wt_t120-Cy5_t0-Cy3_rep1.gpr
Top,Slide81_20060614_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t120-1,wt,120,1,1,20,81-top_2006-06-14_wt_t120-Cy5_t0-Cy3_rep1.gpr
Bottom,Slide82_20060620_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t15-1,wt,15,1,1,1,82-bottom_2006-06-20_wt_t15-Cy5_t0-Cy3_rep1.gpr
Top,Slide82_20060620_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t15-1,wt,15,1,1,1,82-top_2006-06-20_wt_t15-Cy5_t0-Cy3_rep1.gpr
Bottom,Slide83_20060620_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t30-1,wt,30,1,1,6,83-bottom_2006-06-20_wt_t30-Cy5_to-Cy3_rep1.gpr
Top,Slide83_20060620_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t30-1,wt,30,1,1,6,83-top_2006-06-20_wt_t30-Cy5_t0-Cy3_rep1.gpr
Bottom,Slide84_20060620_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t90-1,wt,90,1,1,15,84-bottom_2006-06-20_wt_t90-Cy5_t0-Cy3_rep1.gpr
Top,Slide84_20060620_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t90-1,wt,90,1,1,15,84-top_2006-06-20_wt_t90-Cy5_t0-Cy3_rep1.gpr
