FileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList
13669355_2008-01-31_wt_t15-Cy5_t0-Cy3_rep2.gpr,wt_LogFC_t15-2,wt,15,2,1,2
13664282_2007-10-30_wt_t15-Cy3_t0-Cy5_rep3.gpr,wt_LogFC_t15-3,wt,15,3,-1,3
13664286_2007-09-14_wt_t15-Cy3_t0-Cy5_rep4.gpr,wt_LogFC_t15-4,wt,15,4,-1,4
13669354_2008-01-31_wt_t30-Cy5_t0-Cy3_rep2.gpr,wt_LogFC_t30-2,wt,30,2,1,7
13669406_2007-10-30_wt_t30-Cy3_t0-Cy5_rep3.gpr,wt_LogFC_t30-3,wt,30,3,-1,8
13664283_2007-09-24_wt_t30-Cy3_t0-Cy5_rep4.gpr,wt_LogFC_t30-4,wt,30,4,-1,9
13669353_2008-01-31_wt_t60-Cy5_t0-Cy3_rep2.gpr,wt_LogFC_t60-2,wt,60,2,1,12
13669404_2007-10-30_wt_t60-Cy3_t0-Cy5_rep3.gpr,wt_LogFC_t60-3,wt,60,3,-1,13
13669350_2008-01-31_wt_t90-Cy5_t0-Cy3_rep2.gpr,wt_LogFC_t90-2,wt,90,2,1,16
13669401_2007-10-30_wt_t90-Cy3_t0-Cy5_rep3.gpr,wt_LogFC_t90-3,wt,90,3,-1,17
13664284_2007-09-24_wt_t90-Cy3_t0-Cy5_rep4.gpr,wt_LogFC_t90-4,wt,90,4,-1,18
13669352_2008-01-31_wt_t120-Cy5_t0-Cy3_rep2.gpr,wt_LogFC_t120-2,wt,120,2,1,21
13669358_2007-10-30_wt_t120-Cy3_t0-Cy5_rep3.gpr,wt_LogFC_t120-3,wt,120,3,-1,22
13664285_2007-09-10_wt_t120-Cy3_t0-Cy5_rep4.gpr,wt_LogFC_t120-4,wt,120,4,-1,23
14204849_2012-07-06_Spar_t15-Cy5_t0-Cy3_rep1.gpr,Spar_LogFC_t15-1,Spar,15,1,1,24
14204977_2013-03-16_Spar_t15-Cy3_t0-Cy5_rep2.gpr,Spar_LogFC_t15-2,Spar,15,2,-1,25
14204397_2012-07-10_Spar_t15-Cy3_t0-Cy5_rep3.gpr,Spar_LogFC_t15-3,Spar,15,3,-1,26
14204547_2013-02-16_Spar_t15-Cy5_t0-Cy3_rep4.gpr,Spar_LogFC_t15-4,Spar,15,4,1,27
14204579_2012-07-06_Spar_t30-Cy5_t0-Cy3_rep1.gpr,Spar_LogFC_t30-1,Spar,30,1,1,28
14204972_2013-03-16_Spar_t30-Cy3_t0-Cy5_rep2.gpr,Spar_LogFC_t30-2,Spar,30,2,-1,29
14204535_2012-07-10_Spar_t30-Cy3_t0-Cy5_rep3.gpr,Spar_LogFC_t30-3,Spar,30,3,-1,30
14204393_2013-02-16_Spar_t30-Cy5_t0-Cy3_rep4.gpr,Spar_LogFC_t30-4,Spar,30,4,1,31
14204570_2012-07-06_Spar_t60-Cy5_t0-Cy3_rep1.gpr,Spar_LogFC_t60-1,Spar,60,1,1,32
14204538_2014-02-05_Spar_t60-Cy3_t0-Cy5_rep2.gpr,Spar_LogFC_t60-2,Spar,60,2,-1,33
14205376_2012-07-10_Spar_t60-Cy3_t0-Cy5_rep3.gpr,Spar_LogFC_t60-3,Spar,60,3,-1,34
14204555_2013-02-16_Spar_t60-Cy5_t0-Cy3_rep4.gpr,Spar_LogFC_t60-4,Spar,60,4,1,35
14204574_2012-07-06_Spar_t90-Cy5_t0-Cy3_rep1.gpr,Spar_LogFC_t90-1,Spar,90,1,1,36
14204978_2013-03-16_Spar_t90-Cy3_t0-Cy5_rep2.gpr,Spar_LogFC_t90-2,Spar,90,2,-1,37
14204398_2012-07-10_Spar_t90-Cy3_t0-Cy5_rep3.gpr,Spar_LogFC_t90-3,Spar,90,3,-1,38
14204396_2013-02-16_Spar_t90-Cy5_t0-Cy3_rep4.gpr,Spar_LogFC_t90-4,Spar,90,4,1,39
14204541_2014-02-05_Spar_t120-Cy5_t0-Cy3_rep1.gpr,Spar_LogFC_t120-1,Spar,120,1,1,40
14204986_2013-03-16_Spar_t120-Cy3_t0-Cy5_rep2.gpr,Spar_LogFC_t120-2,Spar,120,2,-1,41
14204971_2013-03-16_Spar_t120-Cy3_t0-Cy5_rep3.gpr,Spar_LogFC_t120-3,Spar,120,3,-1,42
14204394_2013-02-16_Spar_t120-Cy5_t0-Cy3_rep4.gpr,Spar_LogFC_t120-4,Spar,120,4,1,43
